kode;diskripsi;lokasi;merk;warna;dept;satuan;jmlawal;jmlbeli;jmljual;reorder;hpp;hrgjual1;hrgjual2;hrgjual3;jmlrbeli;jmlrjual;jmldvplus;jmldvmin;noninv;untung;ppn;lsttgl;lstven;lsttgldev;lsttglbl;lsttgljl;boxrol;koderelasi;prosen;batassup;hrgjual4;untung2;untung3;cekpakai;batas1;batas2;barcode;tglrevisi;catrevisi
UNI-AD1;UNIVERSAL ADLT DOG 1 KG;;;;27;KG;0;0;0;1;11000;16000;16000;16000;0;0;0;0;FALSE;45.45;0;20-Jul-13;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;45.45;45.45;0;0;0;UNI-AD1;03-Feb-16 06:56:29;0
PRIME-AD1;PRIME CHOICE ADLT DOG 1 KG;;;;27;KG;0;0;92;1;15000;32000;32000;32000;0;0;36;0;FALSE;113.33;0;19-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;113.33;113.33;0;0;0;PRIME-AD1;03-Feb-16 06:56:29;0
BALANCE-AD1;BALANCE ADLT DOG 1  KG;;;;27;KG;0;0;0;1;15000;17000;17000;17000;0;0;0;0;FALSE;13.33;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;13.33;13.33;0;0;0;BALANCE-AD1;03-Feb-16 06:56:29;0
BETTER-AD1;BETTER ADLT DOG 1 KG;;;;27;KG;0;0;45;1;13670;22000;22000;22000;0;0;14;0;FALSE;60.94;0;02-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;60.94;60.94;0;0;0;BETTER-AD1;03-Feb-16 06:56:29;0
OAK-AD1;RED OAK ADLT DOG 1 KG;;;;27;KG;0;0;0;1;16000;29000;29000;29000;0;0;0;0;FALSE;81.25;0;14-Jun-15;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;81.25;81.25;0;0;0;OAK-AD1;03-Feb-16 06:56:29;0
CANIN-AD1;CANIN SELECTION 1 KG;;;;27;KG;0;0;0;1;11000;16000;16000;16000;0;0;0;0;FALSE;45.45;0;10-Aug-13;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;45.45;45.45;0;0;0;CANIN-AD1;03-Feb-16 06:56:29;0
CLASSIC-AD1;CLASSIC BBQ 1 KG;;;;27;KG;0;0;415;1;16250;21000;21000;21000;0;0;121;0;FALSE;29.23;0;22-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;29.23;29.23;0;0;0;CLASSIC-AD1;03-Feb-16 06:56:29;0
ALPO-AD1;ALPO ADLT DOG 1 KG;;;;27;KG;0;0;238;1;24900;30000;30000;30000;0;0;122;0;FALSE;20.48;0;18-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;20.48;20.48;0;0;0;ALPO-AD1;03-Feb-16 06:56:29;0
6931508680118;PREMIER 680118;;;;24;PCS;0;0;0;1;22400;32000;32000;25600;0;0;0;0;FALSE;42.86;0;15-Nov-12;  -   -;  -   -;19-Sep-11;  -   -;0;;0;0;0;42.86;14.29;0;0;0;6931508680118;03-Feb-16 06:56:29;0
DRF-P1;DRF PUPPY 1 KG;;;;27;KG;0;0;0;1;35900;38000;38000;38000;0;0;0;0;FALSE;5.85;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;5.85;5.85;0;0;0;DRF-P1;03-Feb-16 06:56:29;0
