"DRF-L1","DRF LAMB N RICE 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,45000.0000,47000.0000,47000.0000,47000.0000,0.00,0.00,0.00,0.00,F,4.44,0,/  /,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,4.44,4.44,0,0,0,"DRF-L1",02/03/2016 06:56:29,0
"RISHY-AD1","RISHY ADLT DOG 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,18000.0000,22000.0000,22000.0000,22000.0000,0.00,0.00,0.00,0.00,F,22.22,0,12/17/2014,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,22.22,22.22,0,0,0,"RISHY-AD1",02/03/2016 06:56:29,0
"INUK-PF1","INUKSHUK PERFORMANCE 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,32000.0000,45000.0000,45000.0000,45000.0000,0.00,0.00,0.00,0.00,F,40.63,0,11/30/2013,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,40.63,40.63,0,0,0,"INUK-PF1",02/03/2016 06:56:29,0
"PDG-AD1","PEDIGREE ADLT DOG 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,21000.0000,23000.0000,23000.0000,23000.0000,0.00,0.00,0.00,0.00,F,9.52,0,09/24/2013,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,9.52,9.52,0,0,0,"PDG-AD1",02/03/2016 06:56:29,0
"SERIES-PF1","PRO SERIES PERFORMANCE 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,33000.0000,46000.0000,46000.0000,46000.0000,0.00,0.00,0.00,0.00,F,39.39,0,04/17/2015,/  /,/  /,02/14/2011,/  /,0.00,"",0.00,0,0.0000,39.39,39.39,0,0,0,"SERIES-PF1",02/03/2016 06:56:29,0
"UNI-AD1","UNIVERSAL ADLT DOG 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,11000.0000,16000.0000,16000.0000,16000.0000,0.00,0.00,0.00,0.00,F,45.45,0,07/20/2013,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,45.45,45.45,0,0,0,"UNI-AD1",02/03/2016 06:56:29,0
"PRIME-AD1","PRIME CHOICE ADLT DOG 1 KG","","","",27,"KG",0.00,0.00,82.00,1.00,15000.0000,32000.0000,32000.0000,32000.0000,0.00,0.00,36.00,0.00,F,113.33,0,11/16/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,113.33,113.33,0,0,0,"PRIME-AD1",02/03/2016 06:56:29,0
"BALANCE-AD1","BALANCE ADLT DOG 1  KG","","","",27,"KG",0.00,0.00,0.00,1.00,15000.0000,17000.0000,17000.0000,17000.0000,0.00,0.00,0.00,0.00,F,13.33,0,/  /,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,13.33,13.33,0,0,0,"BALANCE-AD1",02/03/2016 06:56:29,0
"BETTER-AD1","BETTER ADLT DOG 1 KG","","","",27,"KG",0.00,0.00,34.00,1.00,13670.0000,22000.0000,22000.0000,22000.0000,0.00,0.00,14.00,0.00,F,60.94,0,11/13/2016,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,60.94,60.94,0,0,0,"BETTER-AD1",02/03/2016 06:56:29,0
"OAK-AD1","RED OAK ADLT DOG 1 KG","","","",27,"KG",0.00,0.00,0.00,1.00,16000.0000,29000.0000,29000.0000,29000.0000,0.00,0.00,0.00,0.00,F,81.25,0,06/14/2015,/  /,/  /,/  /,/  /,0.00,"",0.00,0,0.0000,81.25,81.25,0,0,0,"OAK-AD1",02/03/2016 06:56:29,0
